family,instance,ppd_orig,n_vars,n_clauses,full_sat,full_wall,full_decisions,full_props,full_conflicts,full_ppd,budget,pre_wall,pre_decisions,pre_props,pre_conflicts,pre_ppd,solved_within_prefix,log_n,rel_err
flat30-60,flat30-24.cnf,5.8333,90,300,True,4.8749789129942656e-06,24,91,0,3.7916666666666665,1000,3.875000402331352e-06,24,91,0,3.7916666666666665,True,4.499809670330265,0.0
flat30-60,flat30-25.cnf,7.4545,90,300,True,5.0000089686363935e-06,26,91,0,3.5,10,4.3330073822289705e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-25.cnf,7.4545,90,300,True,5.0000089686363935e-06,26,91,0,3.5,30,4.083995008841157e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-25.cnf,7.4545,90,300,True,5.0000089686363935e-06,26,91,0,3.5,100,4.2079773265868425e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-25.cnf,7.4545,90,300,True,5.0000089686363935e-06,26,91,0,3.5,300,4.125002305954695e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-25.cnf,7.4545,90,300,True,5.0000089686363935e-06,26,91,0,3.5,1000,3.958004526793957e-06,26,91,0,3.5,True,4.499809670330265,0.0
flat30-60,flat30-26.cnf,2.5882,90,300,True,5.749985575675964e-06,27,91,0,3.3703703703703702,10,4.542001988738775e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-26.cnf,2.5882,90,300,True,5.749985575675964e-06,27,91,0,3.3703703703703702,30,4.083005478605628e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-26.cnf,2.5882,90,300,True,5.749985575675964e-06,27,91,0,3.3703703703703702,100,4.0000013541430235e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-26.cnf,2.5882,90,300,True,5.749985575675964e-06,27,91,0,3.3703703703703702,300,3.8339931052178144e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-26.cnf,2.5882,90,300,True,5.749985575675964e-06,27,91,0,3.3703703703703702,1000,3.916997229680419e-06,27,91,0,3.3703703703703702,True,4.499809670330265,0.0
flat30-60,flat30-27.cnf,8.3,90,300,True,5.249981768429279e-06,25,91,0,3.64,10,4.375004209578037e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-27.cnf,8.3,90,300,True,5.249981768429279e-06,25,91,0,3.64,30,4.1660096030682325e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-27.cnf,8.3,90,300,True,5.249981768429279e-06,25,91,0,3.64,100,4.125002305954695e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-27.cnf,8.3,90,300,True,5.249981768429279e-06,25,91,0,3.64,300,3.6669953260570765e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-27.cnf,8.3,90,300,True,5.249981768429279e-06,25,91,0,3.64,1000,3.6249984987080097e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-28.cnf,3.0625,90,300,True,4.6670029405504465e-06,28,91,0,3.25,10,4.1669991333037615e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-28.cnf,3.0625,90,300,True,4.6670029405504465e-06,28,91,0,3.25,30,3.7919962778687477e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-28.cnf,3.0625,90,300,True,4.6670029405504465e-06,28,91,0,3.25,100,3.708992153406143e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-28.cnf,3.0625,90,300,True,4.6670029405504465e-06,28,91,0,3.25,300,3.542023478075862e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-28.cnf,3.0625,90,300,True,4.6670029405504465e-06,28,91,0,3.25,1000,3.583991201594472e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-29.cnf,7.9333,90,300,True,4.6670029405504465e-06,25,91,0,3.64,10,4.0409795474261045e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-29.cnf,7.9333,90,300,True,4.6670029405504465e-06,25,91,0,3.64,30,3.8330035749822855e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-29.cnf,7.9333,90,300,True,4.6670029405504465e-06,25,91,0,3.64,100,3.749999450519681e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-29.cnf,7.9333,90,300,True,4.6670029405504465e-06,25,91,0,3.64,300,3.7090212572366e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-29.cnf,7.9333,90,300,True,4.6670029405504465e-06,25,91,0,3.64,1000,3.6249984987080097e-06,25,91,0,3.64,True,4.499809670330265,0.0
flat30-60,flat30-3.cnf,4.7692,90,300,True,5.915993824601173e-06,28,91,0,3.25,10,4.125002305954695e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-3.cnf,4.7692,90,300,True,5.915993824601173e-06,28,91,0,3.25,30,3.875000402331352e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-3.cnf,4.7692,90,300,True,5.915993824601173e-06,28,91,0,3.25,100,3.7919962778687477e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-3.cnf,4.7692,90,300,True,5.915993824601173e-06,28,91,0,3.25,300,3.7080026231706142e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-3.cnf,4.7692,90,300,True,5.915993824601173e-06,28,91,0,3.25,1000,3.6669953260570765e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-30.cnf,3.5455,90,300,True,4.583998816087842e-06,28,91,0,3.25,10,4.1669991333037615e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-30.cnf,3.5455,90,300,True,4.583998816087842e-06,28,91,0,3.25,30,3.8339931052178144e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-30.cnf,3.5455,90,300,True,4.583998816087842e-06,28,91,0,3.25,100,3.8339931052178144e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-30.cnf,3.5455,90,300,True,4.583998816087842e-06,28,91,0,3.25,300,3.6669953260570765e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-30.cnf,3.5455,90,300,True,4.583998816087842e-06,28,91,0,3.25,1000,3.6659766919910908e-06,28,91,0,3.25,True,4.499809670330265,0.0
flat30-60,flat30-31.cnf,5.1538,90,300,True,4.541012458503246e-06,29,91,0,3.1379310344827585,10,4.0000013541430235e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
flat30-60,flat30-31.cnf,5.1538,90,300,True,4.541012458503246e-06,29,91,0,3.1379310344827585,30,3.875000402331352e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
flat30-60,flat30-31.cnf,5.1538,90,300,True,4.541012458503246e-06,29,91,0,3.1379310344827585,100,4.083005478605628e-06,29,91,0,3.1379310344827585,True,4.499809670330265,0.0
