family,instance,depth,trails_reached,trails_attempted,n_trials,mean,std,cv,rho_occ_l,rho_occ_neg_l,rho_near_unit,rho_two_hop
flat30-60,flat30-15.cnf,10,5,5,260,15.288461538461538,12.735407333124444,0.8330077752483913,-0.06664273065270325,0.1614901383739011,0.3338906787881176,-0.06664273065270325
flat30-60,flat30-16.cnf,5,5,5,500,11.412,13.425152716110961,1.176406652305552,-0.37328004736405523,0.5231729984630801,0.7132427146163781,-0.37328004736405523
flat30-60,flat30-16.cnf,10,5,5,360,12.066666666666666,10.63163933147902,0.8810750827192558,-0.2464091325865513,0.38438929083749057,0.6001905340848099,-0.2464091325865513
flat30-60,flat30-17.cnf,5,5,5,606,13.315181518151816,16.510392436182368,1.2399675072904344,-0.3806153133228925,0.5098159758669456,0.6977846554647127,-0.3440708956706554
flat30-60,flat30-17.cnf,10,5,5,184,23.032608695652176,20.201688555165976,0.8770907725697356,-0.18851502565801123,0.3411441830376052,0.5633517875120576,-0.14973963936568724
flat30-60,flat30-17.cnf,20,1,5,76,24.92105263157895,9.855980462500572,0.3954881283791148,0.011426391213603407,0.011426391213603407,0.060286050152006776,0.011426391213603407
flat30-60,flat30-18.cnf,5,5,5,696,9.971264367816092,13.518089414582844,1.355704644459605,-0.48883023930744657,0.6106957029214712,0.7748590637715035,-0.4613340543768632
flat30-60,flat30-18.cnf,10,5,5,278,16.18705035971223,9.57476251344076,0.5915075508303402,-0.028284659184524524,0.13948833324658613,0.2886596842711833,-0.0009228699708717889
flat30-60,flat30-18.cnf,20,1,5,80,18.85,8.348576775547746,0.44289531965770534,-0.042057637071350705,-0.042057637071350705,-0.028983021343799903,-0.042057637071350705
flat30-60,flat30-19.cnf,5,5,5,676,14.01923076923077,16.673098758845732,1.1893019690809026,-0.4517736142117606,0.6103524730127456,0.772658679234594,-0.4517736142117606
flat30-60,flat30-19.cnf,10,5,5,342,13.508771929824562,10.409993180507508,0.7706098847908155,-0.11457172594613757,0.2753408501558807,0.4520700014159885,-0.11457172594613757
flat30-60,flat30-19.cnf,20,1,5,76,19.0,5.837807807730569,0.3072530425121352,0.02545913451862374,0.02545913451862374,-0.052702236072388914,0.02545913451862374
flat30-60,flat30-2.cnf,5,5,5,656,11.40548780487805,15.11725874035205,1.325437280629637,-0.4959784111492329,0.6240966894618093,0.7985296897332792,-0.4959784111492329
flat30-60,flat30-2.cnf,10,5,5,216,13.13888888888889,10.519048797153626,0.8006041367812485,-0.08462349258199323,0.22630147217324914,0.4606322439066301,-0.08462349258199323
flat30-60,flat30-20.cnf,5,5,5,510,11.701960784313725,14.141767342666116,1.2084955336393632,-0.39174187809706645,0.5488517746798222,0.7261427364750798,-0.37057619949087117
flat30-60,flat30-20.cnf,10,5,5,312,16.955128205128204,13.801226912568051,0.8139854058074163,-0.2025054273178628,0.3318163878322637,0.5381598033906828,-0.1499722923558682
flat30-60,flat30-21.cnf,5,5,5,562,13.272241992882563,18.00056183392777,1.3562563012022262,-0.46183114911008616,0.6269675701795698,0.7902610980840082,-0.4277220250688586
flat30-60,flat30-21.cnf,10,5,5,432,18.502314814814813,13.891024133365669,0.7507722289020354,-0.14662881626107513,0.28449425432780234,0.4553187591730804,-0.11905522691841577
flat30-60,flat30-21.cnf,20,1,5,76,18.236842105263158,7.0821247678977075,0.38834161786452076,0.08257823838462533,0.08257823838462533,0.018535900981917028,0.08257823838462533
flat30-60,flat30-22.cnf,5,5,5,336,10.104166666666666,12.716818592886291,1.2585717370279217,-0.3950197015312948,0.5609071973191221,0.7730806541703776,-0.3950197015312948
flat30-60,flat30-22.cnf,10,5,5,326,16.79754601226994,13.13979721618609,0.7822450497583391,-0.03951131902044794,0.2316708568201045,0.41017497654002794,-0.03951131902044794
flat30-60,flat30-23.cnf,5,5,5,654,14.691131498470948,17.18067259497598,1.1694587715564417,-0.40992860936814735,0.560337776337214,0.7341425262100469,-0.37684083108023014
flat30-60,flat30-23.cnf,10,5,5,444,17.454954954954953,16.05859045923616,0.9200018276001105,-0.14065561453219932,0.29923154138712416,0.5013531209543894,-0.11870186545808052
flat30-60,flat30-24.cnf,5,5,5,666,13.692192192192191,19.684041832312833,1.4376106876105217,-0.4900553052511455,0.6177211352187423,0.795085495518287,-0.4900553052511455
flat30-60,flat30-24.cnf,10,5,5,76,13.328947368421053,10.266304960591208,0.7702262359377412,-0.02091663303307976,0.18136072195185096,0.40967215924272,-0.02091663303307976
flat30-60,flat30-25.cnf,5,5,5,726,9.836088154269973,14.81152833811684,1.5058352574531333,-0.6071095252814569,0.7125077590455594,0.831237017337453,-0.5876185102201793
flat30-60,flat30-25.cnf,10,5,5,276,14.27536231884058,11.525319552070503,0.8073574102465632,-0.1526764192831246,0.2843522551238012,0.4621808809640807,-0.11871452685515534
flat30-60,flat30-26.cnf,5,5,5,580,14.651724137931035,16.18927598073545,1.1049399939781783,-0.33525877800070336,0.4936739196291062,0.6946222204120068,-0.30458390188451334
flat30-60,flat30-26.cnf,10,5,5,246,11.760162601626016,9.441733149767158,0.8028573642733221,-0.2581497184622093,0.4201700704208672,0.6320909755537247,-0.19136139194677865
flat50-115,flat50-1.cnf,5,5,5,1298,11.26040061633282,20.167570642542945,1.791017152026597,-0.669992778961463,0.7810824695503145,0.869774282029088,-0.669992778961463
flat50-115,flat50-1.cnf,10,5,5,1040,16.37596153846154,20.22891133359632,1.2352808283095633,-0.44272890606862847,0.5749946893341471,0.7408649711568441,-0.44272890606862847
flat50-115,flat50-1.cnf,20,4,5,590,21.196610169491525,13.711135425977892,0.6468551016573609,-0.11336377341227928,0.1329797505774263,0.2651025227408465,-0.11336377341227928
flat50-115,flat50-10.cnf,5,5,5,1274,11.365777080062795,18.64063649798568,1.640067050996806,-0.620741809480557,0.7242501220077261,0.8435957057021773,-0.6042033457518121
flat50-115,flat50-10.cnf,10,5,5,796,21.564070351758794,18.081566846869567,0.8385043524677062,-0.15446302942618467,0.297533863637816,0.4911200451148295,-0.13363711845006956
flat50-115,flat50-10.cnf,20,4,5,560,25.042857142857144,14.179842291838636,0.5662230236330317,-0.040402017466171655,0.13783281466560288,0.2543951149200482,-0.023415249951231114
flat50-115,flat50-100.cnf,5,5,5,1260,10.006349206349206,18.419089736592788,1.8407402496912209,-0.6403481521901446,0.7437181047417094,0.8639107836013995,-0.6403481521901446
flat50-115,flat50-100.cnf,10,5,5,842,17.104513064133016,23.459500428296607,1.3715386307891781,-0.45665437892853805,0.5825045366756634,0.7573944235698664,-0.45665437892853805
flat50-115,flat50-100.cnf,20,5,5,706,23.4985835694051,15.057172301172297,0.6407693577231852,-0.08154939805892125,0.15146585516451075,0.27987190483849045,-0.08154939805892125
flat50-115,flat50-1000.cnf,5,5,5,988,14.087044534412955,23.464442351855084,1.6656753156798982,-0.5405649640412716,0.6663005705901739,0.8085373583843303,-0.5189561328698704
flat50-115,flat50-1000.cnf,10,5,5,578,29.07439446366782,27.294142090205284,0.9387690644533564,-0.26322210122170564,0.41685086413043076,0.5854958048942526,-0.23628654586208003
flat50-115,flat50-1000.cnf,20,3,5,408,24.448529411764707,13.396148839456155,0.5479327044108382,-0.0653981440130918,0.13496022776191496,0.2422279895717233,-0.05847812722930764
flat50-115,flat50-101.cnf,5,5,5,1212,14.853135313531354,21.1551201035209,1.424286499581565,-0.5434090607150583,0.6870726632661468,0.819735950384014,-0.5434090607150583
flat50-115,flat50-101.cnf,10,5,5,1030,13.596116504854368,21.18193631632531,1.55794018893281,-0.599294299786778,0.7282487235969024,0.8531593499708335,-0.599294299786778
flat50-115,flat50-101.cnf,20,5,5,796,25.332914572864322,17.75149130552278,0.7007283451126275,-0.15462166147726605,0.2301323960182486,0.3979986973905829,-0.15462166147726605
flat50-115,flat50-102.cnf,5,5,5,972,18.977366255144034,27.897072517634868,1.470018133315683,-0.536142667405205,0.6877245947641872,0.8129234826721645,-0.536142667405205
flat50-115,flat50-102.cnf,10,5,5,778,19.809768637532134,22.316601209003405,1.1265452725541558,-0.3717945363524374,0.5084209415822811,0.6893082211242623,-0.3717945363524374
flat50-115,flat50-102.cnf,20,4,5,542,21.55350553505535,15.219767058504095,0.7061388243202551,-0.17503432707052463,0.27875467672383636,0.46711888316883216,-0.17503432707052463
flat50-115,flat50-103.cnf,5,5,5,970,10.732989690721649,17.224728555720798,1.60483975593595,-0.619170480912458,0.7127090469839595,0.8433357341375193,-0.619170480912458
flat50-115,flat50-103.cnf,10,5,5,904,19.07853982300885,19.975716810564393,1.0470254535136667,-0.3409609899352457,0.43298907256858754,0.6119480342589672,-0.3409609899352457
flat50-115,flat50-103.cnf,20,5,5,786,24.0559796437659,15.562798075652525,0.6469409396796534,-0.12331622084902645,0.19630438063560107,0.34747534720793416,-0.12331622084902645
flat50-115,flat50-104.cnf,5,5,5,1260,12.342857142857143,20.072226329649137,1.6262220405965735,-0.6147511930104361,0.7213014812747037,0.851348136589225,-0.6147511930104361
flat50-115,flat50-104.cnf,10,5,5,1004,22.22808764940239,25.312144396838118,1.1387459324472586,-0.3898688157732461,0.4980784758152311,0.6728589155564442,-0.3898688157732461
flat50-115,flat50-104.cnf,20,4,5,582,22.628865979381445,15.088940852862468,0.66680057527456,-0.08377523434988837,0.20102378343970273,0.3277587920084058,-0.08377523434988837
flat50-115,flat50-105.cnf,5,5,5,1136,13.893485915492958,20.024392873498716,1.44127924376193,-0.537283822975303,0.6457334420053398,0.7758833746823287,-0.5187780828509314
flat50-115,flat50-105.cnf,10,5,5,972,19.75102880658436,22.60468834310192,1.1444815641991388,-0.3701113592880756,0.4862592520683952,0.6737055414303218,-0.3564682919495572
flat50-115,flat50-105.cnf,20,4,5,654,23.412844036697248,13.461676766401746,0.5749697364959994,-0.08928228952785837,0.17278156420276516,0.2994466983630616,-0.08489202548340279
flat50-115,flat50-106.cnf,5,5,5,1042,7.9213051823416505,13.422834109393287,1.6945230363445367,-0.673641553139284,0.7759145821038778,0.8729065320446167,-0.673641553139284
flat50-115,flat50-106.cnf,10,5,5,1070,22.523364485981308,26.340771000871346,1.1694865133166947,-0.39953336916042126,0.5467562259296815,0.7217563412443344,-0.39953336916042126
flat50-115,flat50-106.cnf,20,4,5,612,27.627450980392158,15.584470155322684,0.5640936677937948,-0.06419303579405813,0.1273853374407104,0.2375754428233327,-0.06419303579405813
flat50-115,flat50-107.cnf,5,5,5,1246,13.987961476725522,23.61251488032603,1.6880597590731674,-0.5879835339166313,0.7207584967219555,0.8403691554193451,-0.5879835339166313
flat50-115,flat50-107.cnf,10,5,5,970,21.842268041237112,21.82193788779664,0.9990692288272404,-0.31046703833781486,0.46716694349696003,0.6525011721318723,-0.31046703833781486
flat50-115,flat50-107.cnf,20,4,5,640,28.14375,17.25219248501208,0.61300261994269,-0.10565966348039105,0.18372662580213994,0.3209600349223814,-0.10565966348039105
flat50-115,flat50-108.cnf,5,5,5,1284,11.807632398753894,20.556624555025014,1.7409607498616264,-0.633973901350607,0.7555387709745351,0.8589887940722312,-0.6176536826254231
flat50-115,flat50-108.cnf,10,5,5,986,31.095334685598377,31.356004590796132,1.008382926501141,-0.25672832098580145,0.4161166416199202,0.6174674628102141,-0.23639326198326444
flat50-115,flat50-108.cnf,20,2,5,290,24.048275862068966,13.125073621534305,0.5457802337603884,0.012933124310056906,0.0703228825547632,0.14540012409761457,0.02304681526983534
flat50-115,flat50-109.cnf,5,5,5,1202,21.240432612312812,29.40669936436737,1.3844680050123215,-0.5165952923221817,0.651868578450045,0.7863319566349476,-0.5026695567196395
flat50-115,flat50-109.cnf,10,5,5,936,21.72008547008547,29.26596940349623,1.3474150202495068,-0.42218643879402484,0.5688708962620498,0.7415130616122998,-0.4038132543220546
flat50-115,flat50-109.cnf,20,5,5,852,23.938967136150236,17.641049044426822,0.7369177184669372,-0.12364510545097603,0.25877893992668055,0.41998614662542555,-0.11820029435887495
flat50-115,flat50-109.cnf,40,1,5,142,19.612676056338028,10.081827336020158,0.5140464925367549,-0.0010932672581084016,0.04454051792293488,0.05064345944796359,-0.0010932672581084016
flat50-115,flat50-11.cnf,5,5,5,1266,10.214849921011059,16.165340389190874,1.5825333229752279,-0.617299765019519,0.7187593768366478,0.8288018612282658,-0.617299765019519
flat50-115,flat50-11.cnf,10,5,5,772,23.13860103626943,22.911100105132263,0.9901679046723454,-0.33554373878014,0.4665040307433691,0.6616234564425383,-0.33554373878014
flat50-115,flat50-11.cnf,20,3,5,462,22.20995670995671,13.042948760251532,0.5872568294743404,-0.09584652319324032,0.1350729107032017,0.24610020675596314,-0.09584652319324032
flat50-115,flat50-11.cnf,40,1,5,160,28.15,11.994862631966583,0.4261052444748342,-0.019317237168046026,-0.019317237168046026,-0.004761648395273866,-0.019317237168046026
flat50-115,flat50-110.cnf,5,5,5,1282,11.107644305772231,19.529379878614954,1.7581927671618238,-0.6136893406126749,0.7378231528730962,0.8547733862309913,-0.6136893406126749
flat50-115,flat50-110.cnf,10,5,5,582,20.628865979381445,20.002746586430085,0.9696483852492345,-0.24479979037653302,0.4278569709581889,0.6257464680972759,-0.24479979037653302
flat50-115,flat50-110.cnf,20,4,5,428,22.33644859813084,12.268612624990748,0.5492642472276194,-0.020461668393459958,0.09267011741280817,0.18907629131469694,-0.020461668393459958
flat50-115,flat50-111.cnf,5,5,5,1208,17.116721854304636,25.322911125164502,1.4794252860278918,-0.5546174039617808,0.686304551646795,0.8284539312857933,-0.5546174039617808
flat50-115,flat50-111.cnf,10,5,5,1070,21.760747663551403,25.302191406919558,1.1627445802011651,-0.40010213067490585,0.5256546262359676,0.7096040363379623,-0.40010213067490585
flat50-115,flat50-111.cnf,20,4,5,554,26.53971119133574,16.67743255170894,0.6283954045872783,-0.11636412914520462,0.18167587599850354,0.35094677437425825,-0.11636412914520462
flat50-115,flat50-112.cnf,5,5,5,1146,15.31326352530541,23.61245579067836,1.5419610425732178,-0.5138444149464027,0.6364150978321442,0.7879973326986732,-0.5138444149464027
flat50-115,flat50-112.cnf,10,5,5,656,21.382621951219512,24.509881537090347,1.1462523909839073,-0.3917494336777312,0.5172225839294271,0.7356989512833706,-0.3917494336777312
flat50-115,flat50-112.cnf,20,4,5,604,21.758278145695364,14.235796133608533,0.6542703442930722,-0.15959134391145094,0.2131148234853344,0.3811319034004374,-0.15959134391145094
flat50-115,flat50-113.cnf,5,5,5,1126,14.650976909413854,22.53222549397801,1.5379333155252009,-0.5328569505350037,0.645965997722833,0.7871305446766226,-0.5328569505350037
flat50-115,flat50-113.cnf,10,5,5,976,24.436475409836067,25.81317615195206,1.0563379423188768,-0.287204338072718,0.45280199609731986,0.6514264365174515,-0.287204338072718
flat50-115,flat50-113.cnf,20,5,5,704,25.83096590909091,14.546285812163013,0.5631336382602563,-0.0886364990592285,0.11804660821852717,0.24241110681311784,-0.0886364990592285
flat50-115,flat50-114.cnf,5,5,5,1250,13.1608,22.847261131982275,1.7360085353460486,-0.602054116044111,0.7416877380011848,0.8707968375123973,-0.602054116044111
flat50-115,flat50-114.cnf,10,5,5,960,18.223958333333332,20.826580457531822,1.1428132174467305,-0.37276376634064595,0.4995191667476401,0.7078568983844906,-0.37276376634064595
flat50-115,flat50-114.cnf,20,4,5,680,26.194117647058825,17.515924859053968,0.6686968843564282,-0.13670584206318928,0.2192958068614125,0.37151705841955246,-0.13670584206318928
flat50-115,flat50-115.cnf,5,5,5,1300,10.672307692307692,18.44652724132003,1.7284478458783366,-0.6471394878948368,0.782401133360096,0.8888644360894354,-0.6309215121696921
flat50-115,flat50-115.cnf,10,5,5,788,19.751269035532996,18.581297340063568,0.940764732971607,-0.24995459752096122,0.4432740771516273,0.6432180635035974,-0.22991171660778414
flat50-115,flat50-115.cnf,20,5,5,686,25.867346938775512,14.315268178556188,0.5534107619323496,-0.06708753095817385,0.16358564732554773,0.2711456502419365,-0.06708753095817385
uf100-430,uf100-01.cnf,5,5,5,944,0.9290254237288136,3.1177398724711516,3.3559252447123913,0.0051759701846714155,0.22831664267413773,0.9834148592877334,0.0024183577258159485
uf100-430,uf100-01.cnf,10,5,5,872,4.19151376146789,9.602131962956133,2.290850635211422,0.013139408456298837,0.29701527228791325,0.9333953516515395,0.0173348417458886
uf100-430,uf100-01.cnf,20,5,5,588,14.666666666666666,10.655569895124906,0.7265161292130617,0.04146582662981873,0.2626135216743463,0.39549011999525613,0.04441244483745435
uf100-430,uf100-01.cnf,40,1,5,78,12.76923076923077,6.391802942452532,0.5005628810354392,-0.018669466665547616,0.015740170422717602,-0.09234325290436593,-0.007052814733801863
uf100-430,uf100-010.cnf,5,5,5,940,0.7361702127659574,2.5923969715928754,3.5214640943602644,0.028838704692396144,0.20975440881889995,0.98674477066044,0.025584782971623487
uf100-430,uf100-010.cnf,10,5,5,810,6.690123456790124,10.599882278170295,1.5844075743343677,0.020010954144085383,0.23151964341600917,0.889334069272501,0.021075184842536576
uf100-430,uf100-010.cnf,20,5,5,616,12.676948051948052,11.251790293851435,0.8875787963903808,-0.03261260244600098,0.2471157808306921,0.5776676025757732,-0.03012894408418204
uf100-430,uf100-010.cnf,40,2,5,158,12.29746835443038,6.567153833550305,0.534024861400385,0.1178052475351337,-0.044432231615008214,-0.08895106139701693,0.12011059775686866
uf100-430,uf100-0100.cnf,5,5,5,936,1.0598290598290598,4.577397337773953,4.318995875157682,-0.03202410676947809,0.15992143572071055,0.9861865570617422,-0.027703320757913714
uf100-430,uf100-0100.cnf,10,5,5,844,6.563981042654029,12.137387950779669,1.8490894278805126,-0.07187066311829148,0.30693483888662143,0.8994567324525529,-0.06923778807627692
uf100-430,uf100-0100.cnf,20,5,5,574,13.956445993031359,10.233564795759841,0.7332500552697727,-0.006472971792463552,0.18828246473042365,0.4334919387559104,0.0005097360518880381
uf100-430,uf100-0100.cnf,40,1,5,94,14.98936170212766,8.131307716449598,0.5424719129497957,0.0007712569080033467,0.11995786353959162,0.16904917067115466,0.0006099756070118635
uf100-430,uf100-01000.cnf,5,5,5,946,0.4069767441860465,0.8571602885721853,2.106165280491655,-0.01243844895995076,0.17541741694752885,0.9929265535722993,-0.01575587382614956
uf100-430,uf100-01000.cnf,10,5,5,872,3.938073394495413,9.131558930422214,2.3187884063273647,-0.03056651816754406,0.24633401026352192,0.9353657148822923,-0.026833593917488973
uf100-430,uf100-01000.cnf,20,5,5,638,12.838557993730408,10.004266866251028,0.7792360225452516,-0.003644518781133692,0.1280944868872187,0.43152124358827665,-0.001227451984661222
uf100-430,uf100-0101.cnf,5,5,5,920,1.5826086956521739,4.776133280977506,3.017886413804468,-0.028980314597659023,0.2424861579942496,0.9797295663697879,-0.024330221625440282
uf100-430,uf100-0101.cnf,10,5,5,858,3.4545454545454546,8.163207385008045,2.363033716712855,-0.09826681741331059,0.30176211493260807,0.9276591289121314,-0.0956307858405818
