family,instance,ppd_orig,ppd_clean_mean,n_reps,shuffle_cv
flat50-115,flat50-122.cnf,13.9583,3.4318,12,0.0000
flat50-115,flat50-123.cnf,7.1176,3.5116,12,0.0000
flat50-115,flat50-124.cnf,13.0526,3.5952,12,0.0000
flat50-115,flat50-125.cnf,9.7143,3.5952,12,0.0000
flat50-115,flat50-126.cnf,7.8,3.5952,12,0.0000
flat50-115,flat50-127.cnf,8.1053,3.6829,12,0.0000
flat50-115,flat50-128.cnf,15.3636,3.7750,12,0.0000
flat50-115,flat50-129.cnf,12.4167,3.4318,12,0.0000
flat50-115,flat50-13.cnf,7.9,3.8718,12,0.0000
flat50-115,flat50-130.cnf,9.3333,3.7750,12,0.0000
flat50-115,flat50-131.cnf,6.5714,3.6829,12,0.0000
flat50-115,flat50-132.cnf,19.5833,3.6829,12,0.0000
flat50-115,flat50-133.cnf,24.12,3.7750,12,0.0000
uf100-430,uf100-01.cnf,19.1297,18.2971,12,0.0258
uf100-430,uf100-010.cnf,17.5825,19.1788,12,0.0465
uf100-430,uf100-0100.cnf,9.8049,10.4902,12,0.0877
uf100-430,uf100-01000.cnf,21.1642,19.5951,12,0.0712
uf100-430,uf100-0101.cnf,18.4717,19.4673,12,0.0441
uf100-430,uf100-0102.cnf,18.7266,19.7543,12,0.0384
uf100-430,uf100-0103.cnf,14.8438,16.8771,12,0.0932
uf100-430,uf100-0104.cnf,18.0636,17.9576,12,0.0684
uf100-430,uf100-0105.cnf,18.5957,16.5197,12,0.0461
uf100-430,uf100-0106.cnf,18.1053,18.8297,12,0.0863
uf100-430,uf100-0107.cnf,16.7705,18.2213,12,0.0702
uf100-430,uf100-0108.cnf,18.3163,18.1561,12,0.0759
uf100-430,uf100-0109.cnf,17.7046,17.4854,12,0.0540
uf100-430,uf100-011.cnf,19.2845,18.6608,12,0.0401
uf100-430,uf100-0110.cnf,18.047,16.2287,12,0.0084
uf100-430,uf100-0111.cnf,16.1007,18.0900,12,0.0747
uf100-430,uf100-0112.cnf,8.0938,14.1193,12,0.1237
uf100-430,uf100-0113.cnf,18.967,19.0190,12,0.0715
uf100-430,uf100-0114.cnf,19.2626,18.5129,12,0.0324
uf100-430,uf100-0115.cnf,17.3442,17.9240,12,0.0359
uf100-430,uf100-0116.cnf,12.75,14.9564,12,0.0787
uf100-430,uf100-0117.cnf,17.3574,19.3325,12,0.0378
uf100-430,uf100-0118.cnf,16.6667,19.1743,12,0.0470
uf100-430,uf100-0119.cnf,17.9917,18.2852,12,0.0805
uf100-430,uf100-012.cnf,17.3404,18.4150,12,0.0906
uf100-430,uf100-0120.cnf,17.3736,19.9325,12,0.0754
uf100-430,uf100-0121.cnf,18.713,14.7531,12,0.1825
uf100-430,uf100-0122.cnf,19.2383,18.2404,12,0.0552
uf100-430,uf100-0123.cnf,17.4462,18.8778,12,0.0408
uf100-430,uf100-0124.cnf,18.8234,20.3543,12,0.0402
uf100-430,uf100-0125.cnf,20.2382,18.9043,12,0.0683
uf100-430,uf100-0126.cnf,18.9283,17.5611,12,0.0499
uf100-430,uf100-0127.cnf,18.2098,19.2955,12,0.0456
uf100-430,uf100-0128.cnf,20.8583,17.8809,12,0.0804
uf100-430,uf100-0129.cnf,18.0878,18.9727,12,0.0706
uf100-430,uf100-013.cnf,17.3467,18.5231,12,0.0480
uf100-430,uf100-0130.cnf,17.1714,19.8681,12,0.0544
uf100-430,uf100-0131.cnf,17.1533,18.2634,12,0.0596
uf100-430,uf100-0132.cnf,15.6087,16.3307,12,0.0964
uf100-430,uf100-0133.cnf,18.9831,17.6747,12,0.0390
uf150-645,uf150-01.cnf,23.3591,24.5396,12,0.0652
uf150-645,uf150-010.cnf,24.7182,25.2964,12,0.0271
uf150-645,uf150-0100.cnf,25.898,24.7092,12,0.0485
uf150-645,uf150-011.cnf,24.9064,23.4280,12,0.0859
uf150-645,uf150-012.cnf,24.3324,25.2131,12,0.0185
uf150-645,uf150-013.cnf,18.2207,24.4628,12,0.0903
uf150-645,uf150-014.cnf,24.7842,25.0475,12,0.0554
uf150-645,uf150-015.cnf,26.0333,26.8029,12,0.0355
uf150-645,uf150-016.cnf,19.1847,23.3423,12,0.1138
uf150-645,uf150-017.cnf,19.0357,24.6576,12,0.0681
uf150-645,uf150-018.cnf,26.6673,25.5336,12,0.0287
uf150-645,uf150-019.cnf,22.312,24.1235,12,0.0860
uf150-645,uf150-02.cnf,24.886,26.3566,12,0.0409
uf150-645,uf150-020.cnf,23.8826,24.2986,12,0.0701
uf150-645,uf150-021.cnf,22.549,24.0310,12,0.0530
uf150-645,uf150-022.cnf,27.6651,23.9922,12,0.0769
uf150-645,uf150-023.cnf,24.1668,24.9521,12,0.0212
uf150-645,uf150-024.cnf,20.6133,25.6460,12,0.0495
uf150-645,uf150-025.cnf,24.6749,25.9921,12,0.0304
uf150-645,uf150-026.cnf,24.1832,23.3814,12,0.0729
uf150-645,uf150-027.cnf,25.0954,25.2334,12,0.0387
uf150-645,uf150-028.cnf,24.7624,26.7555,12,0.0230
uf150-645,uf150-029.cnf,25.0141,25.7882,12,0.0454
uf150-645,uf150-03.cnf,26.8825,27.2060,12,0.0254
uf150-645,uf150-030.cnf,19.314,24.2498,12,0.0461
uf150-645,uf150-031.cnf,24.969,24.9241,12,0.0528
uf150-645,uf150-032.cnf,19.9087,23.1084,12,0.0907
uf150-645,uf150-033.cnf,22.1331,25.1052,12,0.0273
uf150-645,uf150-034.cnf,23.9824,25.8091,12,0.0368
uf150-645,uf150-035.cnf,24.4369,24.8226,12,0.0276
uf150-645,uf150-036.cnf,21.7253,24.5413,12,0.0387
uf150-645,uf150-037.cnf,25.3729,24.5096,12,0.0729
uf150-645,uf150-038.cnf,24.7309,25.0692,12,0.0637
uf150-645,uf150-039.cnf,22.7428,24.5962,12,0.0296
uf150-645,uf150-04.cnf,25.4294,24.9108,12,0.0411
uf150-645,uf150-040.cnf,24.9302,24.1499,12,0.0720
uf150-645,uf150-041.cnf,23.5701,24.2490,12,0.0892
uf150-645,uf150-042.cnf,24.5838,25.9102,12,0.0557
uf150-645,uf150-043.cnf,25.2226,25.0983,12,0.0513
uf150-645,uf150-044.cnf,24.5244,24.6713,12,0.0555
uf20-91,uf20-01.cnf,5.8,5.5937,12,0.0634
uf20-91,uf20-010.cnf,3.6429,4.3427,12,0.1725
uf20-91,uf20-0100.cnf,4.4444,4.2576,12,0.0908
uf20-91,uf20-01000.cnf,4.0,4.6183,12,0.2236
uf20-91,uf20-0101.cnf,6.5385,5.0171,12,0.1660
uf20-91,uf20-0102.cnf,5.6875,5.3830,12,0.1031
uf20-91,uf20-0103.cnf,3.75,5.8350,12,0.1170
uf20-91,uf20-0104.cnf,4.3529,3.0000,12,0.0000
uf20-91,uf20-0105.cnf,7.0,5.4520,12,0.0977
uf20-91,uf20-0106.cnf,4.3846,6.6714,12,0.1230
uf20-91,uf20-0107.cnf,5.375,5.7997,12,0.2277
uf20-91,uf20-0108.cnf,5.5714,4.2000,12,0.0000
uf20-91,uf20-0109.cnf,5.4667,5.1458,12,0.0442
uf20-91,uf20-011.cnf,3.3333,4.1781,12,0.0389
uf20-91,uf20-0110.cnf,7.1,2.1000,12,0.0000
uf20-91,uf20-0111.cnf,4.5,2.6250,12,0.0000
uf20-91,uf20-0112.cnf,3.2667,5.0987,12,0.0901
uf20-91,uf20-0113.cnf,6.5333,5.2433,12,0.1274
uf20-91,uf20-0114.cnf,3.6667,4.1389,12,0.0750
uf20-91,uf20-0115.cnf,4.25,4.8484,12,0.0382
uf20-91,uf20-0116.cnf,3.3333,3.3091,12,0.0381
uf20-91,uf20-0117.cnf,4.1,5.9297,12,0.1257
uf20-91,uf20-0118.cnf,4.25,3.2887,12,0.1054
uf20-91,uf20-0119.cnf,5.4444,3.0000,12,0.0000
uf20-91,uf20-012.cnf,4.0,3.7517,12,0.1481
uf20-91,uf20-0120.cnf,6.1,3.8169,12,0.0294
uf20-91,uf20-0121.cnf,4.0909,4.8166,12,0.0375
uf20-91,uf20-0122.cnf,7.7,4.8000,12,0.0000
uf20-91,uf20-0123.cnf,6.0,4.4716,12,0.1053
uf20-91,uf20-0124.cnf,2.2222,2.8206,12,0.1366
uf20-91,uf20-0125.cnf,4.5,4.5148,12,0.0600
uf20-91,uf20-0126.cnf,3.3333,3.1333,12,0.1858
uf20-91,uf20-0127.cnf,4.0,4.2315,12,0.1551
uf20-91,uf20-0128.cnf,4.1875,4.8611,12,0.0531
uf20-91,uf20-0129.cnf,3.0769,4.3478,12,0.0982
uf20-91,uf20-013.cnf,6.0,3.6667,12,0.0184
uf20-91,uf20-0130.cnf,5.0,4.8764,12,0.1171
uf20-91,uf20-0131.cnf,3.6,2.7273,12,0.1972
uf20-91,uf20-0132.cnf,6.9167,5.5634,12,0.1341
uf20-91,uf20-0133.cnf,5.75,4.8970,12,0.1168
uf50-218,uf50-01.cnf,9.8182,8.5758,12,0.0224
uf50-218,uf50-010.cnf,10.2203,11.9698,12,0.0731
uf50-218,uf50-0100.cnf,11.9231,10.9567,12,0.1087
uf50-218,uf50-01000.cnf,13.8621,12.2736,12,0.0788
uf50-218,uf50-0101.cnf,10.098,8.8021,12,0.1290
uf50-218,uf50-0102.cnf,12.8842,11.6112,12,0.0758
uf50-218,uf50-0103.cnf,7.875,8.2060,12,0.0482
uf50-218,uf50-0104.cnf,10.5972,11.4148,12,0.0696
uf50-218,uf50-0105.cnf,10.0698,8.8228,12,0.0719
uf50-218,uf50-0106.cnf,8.1429,9.6628,12,0.0550
uf50-218,uf50-0107.cnf,11.4333,10.8355,12,0.0506
uf50-218,uf50-0108.cnf,7.1071,7.1140,12,0.1319
uf50-218,uf50-0109.cnf,10.6444,9.9806,12,0.0589
uf50-218,uf50-011.cnf,9.0,7.5590,12,0.0493
uf50-218,uf50-0110.cnf,9.4483,10.7151,12,0.0211
uf50-218,uf50-0111.cnf,12.7541,12.1965,12,0.0569
uf50-218,uf50-0112.cnf,9.0,8.9380,12,0.2280
uf50-218,uf50-0113.cnf,4.0833,3.9231,12,0.0000
uf50-218,uf50-0114.cnf,9.0976,7.1879,12,0.0758
uf50-218,uf50-0115.cnf,4.3636,4.6364,12,0.0000
uf50-218,uf50-0116.cnf,9.2857,11.1368,12,0.0670
uf50-218,uf50-0117.cnf,10.5238,10.1761,12,0.0585
uf50-218,uf50-0118.cnf,10.7353,10.5027,12,0.0639
uf50-218,uf50-0119.cnf,12.6429,12.0404,12,0.0414
uf50-218,uf50-012.cnf,10.6765,9.9434,12,0.0831
uf50-218,uf50-0120.cnf,10.2464,11.2187,12,0.0728
uf50-218,uf50-0121.cnf,13.2093,12.2031,12,0.0751
uf50-218,uf50-0122.cnf,10.5806,10.0864,12,0.0725
uf50-218,uf50-0123.cnf,11.8776,7.9722,12,0.0116
uf50-218,uf50-0124.cnf,11.0164,10.8342,12,0.0908
uf50-218,uf50-0125.cnf,7.8065,8.6804,12,0.0470
uf50-218,uf50-0126.cnf,9.0,9.8005,12,0.0635
uf50-218,uf50-0127.cnf,9.7843,11.4551,12,0.0510
uf50-218,uf50-0128.cnf,10.4328,11.0774,12,0.0761
uf50-218,uf50-0129.cnf,12.1803,11.8887,12,0.0553
uf50-218,uf50-013.cnf,11.1667,9.4351,12,0.0932
uf50-218,uf50-0130.cnf,8.8696,8.7811,12,0.0841
uf50-218,uf50-0131.cnf,7.234,9.7675,12,0.0666
uf50-218,uf50-0132.cnf,9.6667,10.3943,12,0.1068
uf50-218,uf50-0133.cnf,7.8696,11.6268,12,0.1247
uuf50-218,uuf50-01.cnf,12.3529,12.5951,12,0.0379
uuf50-218,uuf50-010.cnf,13.0263,12.8990,12,0.0390
uuf50-218,uuf50-0100.cnf,10.1719,11.5334,12,0.0903
uuf50-218,uuf50-01000.cnf,12.4103,11.7114,12,0.0813
uuf50-218,uuf50-0101.cnf,12.4545,12.1376,12,0.0723
uuf50-218,uuf50-0102.cnf,11.3448,11.6196,12,0.0857
uuf50-218,uuf50-0103.cnf,10.8182,11.9168,12,0.0502
uuf50-218,uuf50-0104.cnf,11.25,12.1184,12,0.0632
uuf50-218,uuf50-0105.cnf,13.4697,12.8128,12,0.0344
uuf50-218,uuf50-0106.cnf,12.4949,11.3300,12,0.0611
uuf50-218,uuf50-0107.cnf,11.9882,12.0971,12,0.0649
uuf50-218,uuf50-0108.cnf,11.7778,8.9402,12,0.0979
uuf50-218,uuf50-0109.cnf,12.3404,12.4262,12,0.0593
uuf50-218,uuf50-011.cnf,11.383,11.6171,12,0.0330
uuf50-218,uuf50-0110.cnf,13.7901,12.2544,12,0.0523
uuf50-218,uuf50-0111.cnf,11.7656,10.9957,12,0.0423
uuf50-218,uuf50-0112.cnf,11.8072,11.8280,12,0.0835
uuf50-218,uuf50-0113.cnf,13.5227,11.8058,12,0.0589
uuf50-218,uuf50-0114.cnf,10.949,12.1367,12,0.0473
uuf50-218,uuf50-0115.cnf,12.7234,11.5675,12,0.0631
uuf50-218,uuf50-0116.cnf,12.2949,12.5908,12,0.0711
uuf50-218,uuf50-0117.cnf,13.6588,12.7335,12,0.0575
uuf50-218,uuf50-0118.cnf,13.2769,12.3504,12,0.0840
uuf50-218,uuf50-0119.cnf,13.0357,11.7256,12,0.0945
uuf50-218,uuf50-012.cnf,11.4219,13.2467,12,0.0677
uuf50-218,uuf50-0120.cnf,13.3488,12.6069,12,0.0582
uuf50-218,uuf50-0121.cnf,13.0,12.0822,12,0.1100
uuf50-218,uuf50-0122.cnf,10.1772,11.6199,12,0.0826
uuf50-218,uuf50-0123.cnf,11.6333,11.6233,12,0.0705
uuf50-218,uuf50-0124.cnf,14.575,12.7040,12,0.0684
uuf50-218,uuf50-0125.cnf,12.629,12.1746,12,0.0656
uuf50-218,uuf50-0126.cnf,11.1587,11.8865,12,0.0747
uuf50-218,uuf50-0127.cnf,13.9615,12.3456,12,0.0660
uuf50-218,uuf50-0128.cnf,14.557,12.4543,12,0.0797
uuf50-218,uuf50-0129.cnf,13.1486,12.7934,12,0.0823
uuf50-218,uuf50-013.cnf,10.5397,11.5692,12,0.1035
uuf50-218,uuf50-0130.cnf,15.4865,12.7820,12,0.0770
uuf50-218,uuf50-0131.cnf,12.4342,12.8898,12,0.0682
uuf50-218,uuf50-0132.cnf,11.5714,12.6082,12,0.0649
uuf50-218,uuf50-0133.cnf,12.0843,12.2067,12,0.0566
