instance,family,status,result,variables,clauses,decisions,propagations,conflicts,restarts,props_per_decision,cpu_time,B_req@on-chip (1 us),B_req@PCIe-class (10 us),B_req@tuned-link (50 us),B_req@ECP5 UDP (200 us)
flat50-24.cnf,flat50-115,ok,SAT,150,545,15,95,1,1,6.3333,0.001347,1.5789556787140984,15.789556787140986,78.94778393570492,315.7911357428197
flat50-240.cnf,flat50-115,ok,SAT,150,545,22,137,4,1,6.2273,0.001316,1.60583238321584,16.058323832158404,80.291619160792,321.166476643168
flat50-241.cnf,flat50-115,ok,SAT,150,545,11,98,1,1,8.9091,0.001328,1.1224478342369038,11.22447834236904,56.12239171184519,224.48956684738076
flat50-242.cnf,flat50-115,ok,SAT,150,545,10,99,1,1,9.9,0.001352,1.0101010101010102,10.101010101010102,50.505050505050505,202.02020202020202
flat50-243.cnf,flat50-115,ok,SAT,150,545,16,127,2,1,7.9375,0.00132,1.2598425196850394,12.598425196850396,62.99212598425197,251.96850393700788
flat50-244.cnf,flat50-115,ok,SAT,150,545,22,250,12,1,11.3636,0.001317,0.8800028160090112,8.800028160090113,44.00014080045056,176.00056320180224
flat50-245.cnf,flat50-115,ok,SAT,150,545,18,231,7,1,12.8333,0.001407,0.7792228031761121,7.792228031761123,38.961140158805605,155.84456063522242
flat50-246.cnf,flat50-115,ok,SAT,150,545,20,114,2,1,5.7,0.001392,1.7543859649122806,17.54385964912281,87.71929824561403,350.8771929824561
flat50-247.cnf,flat50-115,ok,SAT,150,545,24,291,10,1,12.125,0.001342,0.8247422680412371,8.247422680412372,41.23711340206186,164.94845360824743
flat50-248.cnf,flat50-115,ok,SAT,150,545,21,211,5,1,10.0476,0.001242,0.9952625502607588,9.95262550260759,49.763127513037944,199.05251005215177
flat50-249.cnf,flat50-115,ok,SAT,150,545,25,326,11,1,13.04,0.001287,0.7668711656441718,7.66871165644172,38.34355828220859,153.37423312883436
flat50-25.cnf,flat50-115,ok,SAT,150,545,12,127,2,1,10.5833,0.001237,0.9448848657791049,9.44884865779105,47.244243288955246,188.97697315582099
flat50-250.cnf,flat50-115,ok,SAT,150,545,11,92,1,1,8.3636,0.001287,1.1956573724233583,11.956573724233586,59.78286862116792,239.13147448467168
flat50-251.cnf,flat50-115,ok,SAT,150,545,21,277,10,1,13.1905,0.00131,0.7581213752321747,7.581213752321748,37.906068761608736,151.62427504643495
flat50-252.cnf,flat50-115,ok,SAT,150,545,15,143,3,1,9.5333,0.001263,1.0489547166248832,10.489547166248833,52.44773583124416,209.79094332497664
flat50-253.cnf,flat50-115,ok,SAT,150,545,23,121,2,1,5.2609,0.001227,1.9008154498279761,19.00815449827976,95.0407724913988,380.1630899655952
flat50-254.cnf,flat50-115,ok,SAT,150,545,14,149,5,1,10.6429,0.001273,0.9395935318381269,9.39593531838127,46.97967659190635,187.9187063676254
flat50-255.cnf,flat50-115,ok,SAT,150,545,14,189,4,1,13.5,0.00129,0.7407407407407407,7.407407407407408,37.03703703703704,148.14814814814815
flat50-256.cnf,flat50-115,ok,SAT,150,545,20,214,5,1,10.7,0.001214,0.9345794392523366,9.345794392523366,46.728971962616825,186.9158878504673
flat50-257.cnf,flat50-115,ok,SAT,150,545,17,134,3,1,7.8824,0.001232,1.2686491423931798,12.6864914239318,63.43245711965899,253.72982847863597
flat50-258.cnf,flat50-115,ok,SAT,150,545,21,179,3,1,8.5238,0.001237,1.1731856683638753,11.731856683638755,58.659283418193766,234.63713367277506
flat50-259.cnf,flat50-115,ok,SAT,150,545,18,244,6,1,13.5556,0.001276,0.7377024993360678,7.377024993360679,36.88512496680339,147.54049986721355
flat50-26.cnf,flat50-115,ok,SAT,150,545,17,196,5,1,11.5294,0.001271,0.86734782382431,8.673478238243101,43.367391191215496,173.46956476486199
flat50-260.cnf,flat50-115,ok,SAT,150,545,14,152,5,1,10.8571,0.001207,0.921056267327371,9.21056267327371,46.05281336636855,184.2112534654742
flat50-261.cnf,flat50-115,ok,SAT,150,545,17,75,0,1,4.4118,0.001229,2.266648533478399,22.66648533478399,113.33242667391993,453.3297066956797
flat50-262.cnf,flat50-115,ok,SAT,150,545,12,160,2,1,13.3333,0.001209,0.7500018750046875,7.500018750046877,37.50009375023438,150.0003750009375
flat50-263.cnf,flat50-115,ok,SAT,150,545,14,263,6,1,18.7857,0.001317,0.5323197964409099,5.3231979644091,26.615989822045496,106.46395928818198
flat50-264.cnf,flat50-115,ok,SAT,150,545,15,207,6,1,13.8,0.001307,0.7246376811594203,7.246376811594204,36.231884057971016,144.92753623188406
flat50-265.cnf,flat50-115,ok,SAT,150,545,28,369,11,1,13.1786,0.001285,0.7588059429681454,7.588059429681454,37.94029714840727,151.76118859362907
flat50-266.cnf,flat50-115,ok,SAT,150,545,21,150,4,1,7.1429,0.001217,1.3999916000503998,13.999916000504,69.99958000251999,279.99832001007996
flat50-267.cnf,flat50-115,ok,SAT,150,545,17,103,2,1,6.0588,0.00125,1.650491846570278,16.504918465702783,82.5245923285139,330.0983693140556
flat50-268.cnf,flat50-115,ok,SAT,150,545,15,188,4,1,12.5333,0.001286,0.7978744624320809,7.97874462432081,39.89372312160405,159.5748924864162
flat50-269.cnf,flat50-115,ok,SAT,150,545,31,609,19,1,19.6452,0.001255,0.5090301956712072,5.090301956712073,25.45150978356036,101.80603913424144
flat50-27.cnf,flat50-115,ok,SAT,150,545,20,278,8,1,13.9,0.001276,0.7194244604316546,7.194244604316547,35.97122302158273,143.88489208633092
flat50-270.cnf,flat50-115,ok,SAT,150,545,14,91,1,1,6.5,0.001238,1.5384615384615385,15.384615384615387,76.92307692307692,307.6923076923077
flat50-271.cnf,flat50-115,ok,SAT,150,545,22,345,8,1,15.6818,0.001249,0.6376818987616217,6.376818987616218,31.884094938081088,127.53637975232435
flat50-272.cnf,flat50-115,ok,SAT,150,545,20,402,11,1,20.1,0.001304,0.49751243781094523,4.975124378109453,24.87562189054726,99.50248756218905
flat50-273.cnf,flat50-115,ok,SAT,150,545,23,380,12,1,16.5217,0.001244,0.6052645914161376,6.052645914161377,30.263229570806878,121.05291828322751
flat50-274.cnf,flat50-115,ok,SAT,150,545,11,78,1,1,7.0909,0.001231,1.410258218279767,14.102582182797672,70.51291091398835,282.0516436559534
flat50-275.cnf,flat50-115,ok,SAT,150,545,12,83,1,1,6.9167,0.001217,1.445776164934145,14.457761649341451,72.28880824670725,289.155232986829
flat50-276.cnf,flat50-115,ok,SAT,150,545,18,406,10,1,22.5556,0.001248,0.4433488801007289,4.4334888010072895,22.167444005036444,88.66977602014578
flat50-277.cnf,flat50-115,ok,SAT,150,545,15,149,2,1,9.9333,0.001251,1.0067147876335156,10.067147876335158,50.33573938167578,201.34295752670312
flat50-278.cnf,flat50-115,ok,SAT,150,545,14,74,0,1,5.2857,0.001284,1.8918970051270407,18.91897005127041,94.59485025635203,378.37940102540813
flat50-279.cnf,flat50-115,ok,SAT,150,545,20,259,7,1,12.95,0.001239,0.7722007722007722,7.7220077220077235,38.610038610038615,154.44015444015446
flat50-28.cnf,flat50-115,ok,SAT,150,545,10,75,0,1,7.5,0.001257,1.3333333333333333,13.333333333333336,66.66666666666667,266.6666666666667
flat50-280.cnf,flat50-115,ok,SAT,150,545,18,134,5,1,7.4444,0.001215,1.343291601740906,13.432916017409061,67.1645800870453,268.6583203481812
flat50-281.cnf,flat50-115,ok,SAT,150,545,26,393,14,1,15.1154,0.001249,0.6615769347817458,6.615769347817459,33.07884673908729,132.31538695634916
flat50-282.cnf,flat50-115,ok,SAT,150,545,18,168,3,1,9.3333,0.00127,1.07143239797285,10.714323979728501,53.571619898642496,214.28647959456998
flat50-283.cnf,flat50-115,ok,SAT,150,545,15,97,2,1,6.4667,0.00123,1.5463837815268993,15.463837815268995,77.31918907634497,309.2767563053799
flat50-284.cnf,flat50-115,ok,SAT,150,545,14,83,1,1,5.9286,0.0012,1.6867388590898356,16.867388590898358,84.33694295449178,337.3477718179671
flat50-285.cnf,flat50-115,ok,SAT,150,545,35,306,15,1,8.7429,0.001243,1.1437852428827961,11.437852428827965,57.18926214413981,228.75704857655924
flat50-286.cnf,flat50-115,ok,SAT,150,545,6,70,0,1,11.6667,0.001242,0.8571404081702624,8.571404081702624,42.857020408513115,171.42808163405246
flat50-287.cnf,flat50-115,ok,SAT,150,545,22,138,4,1,6.2727,0.001223,1.5942098298978111,15.942098298978113,79.71049149489055,318.8419659795622
