size,rtt_us
32,967.125000897795
32,959.3750000931323
32,954.5420180074871
32,1003.2499849330634
32,971.8340006656945
32,899.2079820018262
32,960.0000048521906
32,966.3329983595759
32,977.3329948075116
32,949.1670061834157
32,958.083983277902
32,974.8750017024577
32,1000.0409965869039
32,946.0830187890679
32,971.4590269140899
32,953.7080186419189
64,1036.4170011598617
64,1049.957994837314
64,1070.4159794840962
64,1060.834008967504
64,1077.2919922601432
64,1063.125004293397
64,1042.8749956190586
64,1076.1250159703195
64,1044.9999826960266
64,1026.9169870298356
64,1012.5840199179947
64,1011.667016427964
64,1001.208001980558
64,1030.12501494959
64,1028.291997499764
64,1070.0830025598407
64,1026.3749863952398
64,1048.0420023668557
64,1048.0409837327898
64,1047.7920004632324
64,1039.0410025138408
64,1063.3750061970204
64,1008.4169916808605
64,1039.7080041002482
64,1058.041991200298
64,1039.0829993411899
64,1042.4999927636236
64,1027.9999987687916
64,1033.8749852962792
64,1014.6660206373781
64,1021.9170071650296
64,1049.042009981349
64,1033.7919811718166
64,1007.707993267104
64,1021.7090020887554
64,1013.5420016013086
64,1050.749997375533
64,997.9169990401715
64,1034.8340147174895
64,1020.5829748883843
64,1034.749991958961
64,1015.6669886782765
64,1044.9170076753944
64,1066.7089954949915
64,1042.9169924464077
64,1092.666992917657
64,1034.5829941798002
64,1055.8329813648015
64,1013.5420016013086
64,1047.2080030012876
64,1032.0410074200481
64,1020.8750027231872
64,1061.2500191200525
64,1020.3749989159405
64,1039.0829993411899
64,1000.8750250563025
64,999.749987386167
64,1004.7079995274544
64,1006.6250106319785
64,1022.4999859929085
64,1161.958003649488
64,1027.291000355035
64,1046.6249950695783
64,1058.416994055733
64,1032.5410112272948
64,1161.2499947659671
64,1036.7920040152967
64,1013.5420016013086
64,992.7079954650253
64,1017.0000023208559
64,1002.99998302944
64,1001.6250016633421
64,948.7080096732825
64,1029.000006383285
64,1005.4590238723904
64,1005.7089966721833
64,1008.2089866045862
64,1006.6250106319785
64,1004.9999982584268
64,1031.1249934602529
64,1017.3750051762909
64,1040.5829816590995
64,1033.5000115446746
64,1018.207985907793
64,1011.3330208696425
64,1010.8749847859144
64,1017.7500080317259
64,1003.1249839812517
64,1009.5000034198165
64,1001.0839905589819
64,1004.2499925475568
64,1001.0830010287464
64,1002.2500064224005
64,1015.0419839192182
64,1003.6250168923289
64,999.2079867515713
64,1008.416002150625
64,1001.9589972216636
64,1005.0830023828894
64,980.4579894989729
64,1004.1669884230942
64,1032.0839937776327
64,997.4169952329248
64,1013.9580117538571
64,1006.9999843835831
64,1016.8330045416951
64,1019.0000175498426
64,1014.5830165129155
64,1013.6659839190543
64,995.1250103767961
64,1005.1249992102385
64,991.8329888023436
64,1001.0830010287464
64,1022.875017952174
64,986.4159801509231
64,1021.7500093858689
64,991.7909919749945
64,1013.9590012840927
64,1010.915992083028
64,987.5840041786432
64,1019.9999960605055
64,1014.0420054085553
64,1005.9159831143916
64,1016.042020637542
64,1008.6250258609653
64,963.4160087443888
64,991.3330140989274
64,1035.9160078223795
64,1005.6669998448342
64,1002.2500064224005
64,1033.6659906897694
64,1013.3750038221478
64,1012.7499990630895
64,1003.8329928647727
64,1008.5829999297857
64,1013.1669987458736
64,1009.0839932672679
64,1003.0419798567891
64,1003.8749896921217
64,1015.9999947063625
64,1018.0000099353492
64,1010.1250081788749
64,1010.0829822476953
64,996.5840145014226
64,1020.2910052612424
64,983.9170088525862
64,1007.0419812109321
64,1018.91701342538
64,1080.2499891724437
64,1021.7499802820385
64,969.5829940028489
64,1014.20798455365
64,991.0000080708414
64,977.3750207386911
64,992.9160005412996
64,992.7499922923744
64,1028.5000025760382
64,1033.7079875171185
64,1016.7919972445816
64,1033.5000115446746
64,1037.7919825259596
64,1070.2919971663505
64,1091.7089821305126
64,1112.291996832937
64,1158.1669969018549
64,977.666990365833
64,945.8329877816141
64,1006.7500115837902
64,1006.6250106319785
