solver,instance,family,result,propagations,decisions,props_per_decision,status
cadical,bw_large.b.cnf,blocksworld,SAT,16343,244,66.9795,ok
cadical,bw_large.d.cnf,blocksworld,SAT,2638346,9712,271.6584,ok
cadical,bmc-galileo-8.cnf,bmc,SAT,1563068,26622,58.7134,ok
cadical,bmc-ibm-4.cnf,bmc,SAT,274989,25712,10.6950,ok
cadical,bmc-ibm-11.cnf,bmc,SAT,899697,45684,19.6939,ok
cadical,bmc-ibm-3.cnf,bmc,SAT,233328,14415,16.1865,ok
cadical,bmc-ibm-13.cnf,bmc,SAT,3321577,38992,85.1861,ok
cadical,bmc-ibm-10.cnf,bmc,SAT,144897,24251,5.9749,ok
cadical,bmc-ibm-1.cnf,bmc,SAT,236751,27337,8.6605,ok
cadical,bmc-ibm-7.cnf,bmc,SAT,,,,parse_error
cadical,bmc-ibm-2.cnf,bmc,SAT,,,,parse_error
cadical,bmc-ibm-12.cnf,bmc,SAT,6966549,49390,141.0518,ok
cadical,bmc-ibm-5.cnf,bmc,SAT,36726,10815,3.3958,ok
cadical,bmc-galileo-9.cnf,bmc,SAT,1999886,33184,60.2666,ok
cadical,bmc-ibm-6.cnf,bmc,SAT,1090622,24704,44.1476,ok
cadical,hanoi4.cnf,hanoi,SAT,176941,6351,27.8603,ok
cadical,hanoi5.cnf,hanoi,SAT,2577429,91017,28.3181,ok
cadical,ii8a1.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii8e2.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii8e1.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii32d2.cnf,inductive-inference,SAT,15206,894,17.0089,ok
cadical,ii16e2.cnf,inductive-inference,SAT,42970,1283,33.4918,ok
cadical,ii32b1.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii8b4.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii8d2.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii8d1.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii32b2.cnf,inductive-inference,SAT,32897,1355,24.2782,ok
cadical,ii32d1.cnf,inductive-inference,SAT,4792,366,13.0929,ok
cadical,ii32b3.cnf,inductive-inference,SAT,18669,820,22.7671,ok
cadical,ii16e1.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii8b2.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii16a2.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii32c1.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii8a2.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii32e3.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii32e5.cnf,inductive-inference,SAT,19704,1235,15.9547,ok
cadical,ii32b4.cnf,inductive-inference,SAT,56757,3641,15.5883,ok
cadical,ii32c3.cnf,inductive-inference,SAT,4638,275,16.8655,ok
cadical,ii16c1.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii8a3.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii8a4.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii32c4.cnf,inductive-inference,SAT,107315,2872,37.3659,ok
cadical,ii16d1.cnf,inductive-inference,SAT,41115,3236,12.7055,ok
cadical,ii16b1.cnf,inductive-inference,SAT,46180,1379,33.4880,ok
cadical,ii32e1.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii32a1.cnf,inductive-inference,SAT,72146,3605,20.0128,ok
cadical,ii32e2.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii16d2.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii32d3.cnf,inductive-inference,SAT,377114,12597,29.9368,ok
cadical,ii8b1.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii8c2.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii32e4.cnf,inductive-inference,SAT,28925,1258,22.9928,ok
cadical,ii16c2.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii16a1.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii8c1.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii16b2.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii32c2.cnf,inductive-inference,SAT,,,,parse_error
cadical,ii8b3.cnf,inductive-inference,SAT,,,,parse_error
cadical,logistics.c.cnf,logistics,SAT,20870,2269,9.1979,ok
cadical,logistics.a.cnf,logistics,SAT,7152,1080,6.6222,ok
cadical,logistics.b.cnf,logistics,SAT,4176,878,4.7563,ok
cadical,logistics.d.cnf,logistics,SAT,19328,2900,6.6648,ok
cadical,par16-1-c.cnf,parity,SAT,39256,955,41.1058,ok
cadical,par8-5.cnf,parity,SAT,,,,parse_error
cadical,par32-5-c.cnf,parity,,,,,timeout
cadical,par16-2.cnf,parity,SAT,295973,5520,53.6183,ok
cadical,par8-3.cnf,parity,SAT,1152,131,8.7939,ok
cadical,par32-3-c.cnf,parity,,,,,timeout
cadical,par16-4.cnf,parity,SAT,53695,1469,36.5521,ok
cadical,par32-4-c.cnf,parity,,,,,timeout
cadical,par32-2-c.cnf,parity,,,,,timeout
cadical,par8-4.cnf,parity,SAT,,,,parse_error
cadical,par32-1-c.cnf,parity,,,,,timeout
cadical,par8-2-c.cnf,parity,SAT,,,,parse_error
cadical,par32-1.cnf,parity,,,,,timeout
cadical,par8-1-c.cnf,parity,SAT,,,,parse_error
