solver,instance,family,result,propagations,decisions,props_per_decision,status
cadical,uf20-0377.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0870.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0177.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0512.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0294.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0627.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0518.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0311.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0306.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0926.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0278.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0435.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0973.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0674.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0606.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0905.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-046.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0268.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0315.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0557.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0912.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0242.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0253.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-089.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0550.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0529.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0703.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0890.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0945.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0659.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0530.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-085.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0838.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0342.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0955.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0150.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0143.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0398.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0537.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0322.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0408.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0218.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0764.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0232.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0847.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-063.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0498.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0125.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-018.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0620.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0866.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0154.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0868.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0953.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0759.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0395.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0542.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0558.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0779.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0865.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0740.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0186.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0158.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-047.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0724.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0762.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0412.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0338.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0830.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0604.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0892.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0636.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0895.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0301.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0396.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0413.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0758.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-014.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0654.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0811.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0239.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0438.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0348.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0738.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0535.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0985.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-017.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0795.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0970.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0134.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0630.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0324.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0144.cnf,uf20-91,SAT,,,,parse_error
cadical,uf20-0756.cnf,uf20-91,SAT,,,,parse_error
