hash,family,instance,solver,result,completed,variables,clauses,decisions,propagations,props_per_decision,cpu_time,status
3e8a93289f23c6384b4373981d241b03,cryptography,3e8a93289f23c6384b4373981d241b03-mp1-22.8.cnf,cadical,rc0,False,,,19658071,211790238,10.7737,60.00,ok
3e8a93289f23c6384b4373981d241b03,cryptography,3e8a93289f23c6384b4373981d241b03-mp1-22.8.cnf,kissat,rc0,False,,,26034831,264462963,10.1580,60.00,ok
f79b51d583e3477a96c8f69e6eb434ae,cryptography,f79b51d583e3477a96c8f69e6eb434ae-009.cnf,minisat,SAT,True,4128,72259,2279737,20954949,9.1918,3.52951,ok
f79b51d583e3477a96c8f69e6eb434ae,cryptography,f79b51d583e3477a96c8f69e6eb434ae-009.cnf,cadical,rc0,False,,,21746080,202675964,9.3201,60.01,ok
f79b51d583e3477a96c8f69e6eb434ae,cryptography,f79b51d583e3477a96c8f69e6eb434ae-009.cnf,kissat,rc0,False,,,28215943,273862022,9.7059,60.00,ok
4cf373cad2b740fcf21c55e830e28a98,cryptography,4cf373cad2b740fcf21c55e830e28a98-sha1__zeroOut_03__freeIn_07__seed_1.cnf,minisat,SAT,True,13409,307102,1881184,67918358,36.1040,14.6034,ok
4cf373cad2b740fcf21c55e830e28a98,cryptography,4cf373cad2b740fcf21c55e830e28a98-sha1__zeroOut_03__freeIn_07__seed_1.cnf,cadical,SAT,True,,,,,,0.14,no_decisions
4cf373cad2b740fcf21c55e830e28a98,cryptography,4cf373cad2b740fcf21c55e830e28a98-sha1__zeroOut_03__freeIn_07__seed_1.cnf,kissat,SAT,True,,,0,13857,,0.11,no_decisions
f10b15b078811d443c859aade6d3863b,cryptography,f10b15b078811d443c859aade6d3863b-md5__zeroOut_05__freeIn_09__seed_1.cnf,minisat,SAT,True,15233,138643,841478,47204981,56.0977,6.04139,ok
f10b15b078811d443c859aade6d3863b,cryptography,f10b15b078811d443c859aade6d3863b-md5__zeroOut_05__freeIn_09__seed_1.cnf,cadical,SAT,True,,,1742185,47427594,27.2231,8.26,ok
f10b15b078811d443c859aade6d3863b,cryptography,f10b15b078811d443c859aade6d3863b-md5__zeroOut_05__freeIn_09__seed_1.cnf,kissat,SAT,True,,,2062409,56265169,27.2813,7.08,ok
f42ff899418dfff5c9c7c958b2a09177,cryptography,f42ff899418dfff5c9c7c958b2a09177-sha1__zeroOut_00__freeIn_04__seed_2.cnf,minisat,SAT,True,13409,307102,969248,9702830,10.0107,1.71235,ok
f42ff899418dfff5c9c7c958b2a09177,cryptography,f42ff899418dfff5c9c7c958b2a09177-sha1__zeroOut_00__freeIn_04__seed_2.cnf,cadical,SAT,True,,,,,,0.14,no_decisions
f42ff899418dfff5c9c7c958b2a09177,cryptography,f42ff899418dfff5c9c7c958b2a09177-sha1__zeroOut_00__freeIn_04__seed_2.cnf,kissat,SAT,True,,,0,13884,,0.10,no_decisions
