instance,family,status,result,completed,variables,clauses,decisions,propagations,conflicts,restarts,props_per_decision,cpu_time,download_bytes,wall_total,error
b86f2425cafeb1239d65bd529e372e02-ER_500_10_1.apx_1_DC-AD.cnf,sc2023-main,ok,INDET,False,1002,38763,284049,17589231,159198,431,61.9232,9.97809,82136,11.35,
bab57c8799cb05c8c1757c60d4ebdefd-satcoin-genesis-UNSAT-17400.cnf,sc2023-main,ok,INDET,False,134781,648661,31948,107771793,8808,37,3373.3502,9.9863,1505132,12.12,
bb8042839130ce5597c358c1955706ff-hash_table_find_safety_size_30.cnf,sc2023-main,parse_error,rc1,False,,,,,,,,,155285708,31.62,
bbf800109d039e117ed60593c185692c-ER_500_10_2.apx_1_DS-ST.cnf,sc2023-main,ok,INDET,False,1002,38697,225539,12191473,119746,318,54.0548,9.98074,81072,11.33,
bc3a8bd47c5575c2f1b31882d28ee091-26_1.cnf,sc2023-main,ok,INDET,False,4288,14208,159367,105877948,138112,381,664.3656,9.99113,24436,11.13,
bc7dc7a83b442a2bf4cf8cae3f0e0faa-hash_table_find_safety_size_18.cnf,sc2023-main,no_decisions,INDET,False,9954175,39879160,0,954147,0,1,,10.8602,73234908,22.17,
bca01a49805df3399a0438191019e417-SCPC-700-87.cnf,sc2023-main,ok,INDET,False,700,27454,238274,4816407,93756,255,20.2137,9.97531,236596,11.63,
bcd753d08904860fa93a794557185e04-SC23_Timetable_C_488_E_50_Cl_33_D_6_T_50.cnf,sc2023-main,ok,INDET,False,251975,812962,7461409,76984860,168543,456,10.3177,9.97924,1370456,12.12,
bd0b055b890a9ace598a0c4aba40de30-sat-bench-trig-bhaskara.cnf,sc2023-main,ok,INDET,False,618715,2602587,665426,138840364,186157,509,208.6488,9.95739,4759044,12.72,
bdc85226a8d910a8b7d6a8730c7a4572-PRP_40_40.cnf,sc2023-main,ok,INDET,False,249398,1484862,13741491,143145922,381600,910,10.4171,9.97615,4344336,12.56,
be5c82b97513a31e0b3bcc1c231018ad-asconhashv12_opt64_H15_M2-kwhXs2juqFoKAYA_m12_13_U16.c.cnf,sc2023-main,ok,INDET,False,138834,296566,837121,69404969,146984,382,82.9091,9.97882,493416,11.87,
c0069efa0c924e416878d9426f1ef92e-SCPC-900-29.cnf,sc2023-main,ok,INDET,False,900,41634,252033,5796936,89200,254,23.0007,9.97277,139420,11.47,
c115ebeec47bb82fa7f9850a632ec94a-brent_71_0.25.cnf,sc2023-main,ok,INDET,False,84462,202147,1870411,103805329,398133,962,55.4987,9.9629,740772,11.91,
c1324a6876269ee93890e266fe214557-SCPC-800-50.cnf,sc2023-main,ok,INDET,False,800,33848,254897,5566946,94601,255,21.8400,9.98012,176992,11.51,
c1b5c3d1016de7baeb0ddb3a2ab2d891-SCPC-900-27.cnf,sc2023-main,ok,INDET,False,900,41618,252217,5750544,87935,254,22.8000,9.97653,137700,11.47,
c32f194ad850c944142c74514dfb3c5f-WCNFPlus_from_fp_13.cnf,sc2023-main,ok,INDET,False,637,15090,307993,15718207,228580,511,51.0343,9.97514,17008,11.14,
c40838cb3ed9babe51dc41185e70a3dd-hash_table_find_safety_size_11.cnf,sc2023-main,ok,INDET,False,5277644,20971987,227950,15545179,216,3,68.1956,9.86161,38727736,17.31,
c7bf3517f47d583ae567de3db3708969-oisc-subrv-and-nested-14.cnf,sc2023-main,no_decisions,INDET,False,11241536,39006729,0,4,0,1,,12.2054,61135752,23.15,
c9af5b23c87350f5d817acc9ca7b69bb-CNF_to_alien_12.cnf,sc2023-main,ok,INDET,False,252,2049,1638721,32569705,1256427,2396,19.8751,9.98729,3568,10.95,
c9f7ca549a6773bea4628e2c66f597c6-brent_51_0.17.cnf,sc2023-main,ok,INDET,False,60676,176908,1541058,110288933,452906,1022,71.5670,9.96355,598624,11.93,
